NCIt Subset Code,CDRH Subset Name,NCIt Concept Code,NCIt Preferred Term,NCIt Definition,CDRH Preferred Term,CDRH Source Code,CDRH Definition,IMDRF Code
C54451,Medical Device Problem,C50554,Expulsion,Problem with all or part of an implanted or invasive medical device being completely expelled from its intended location within the body.,Expulsion,2933,Problem with all or part of an implanted or invasive device being completely expelled from its intended location within the body.,IMDRF:A010401
C54451,Medical Device Problem,C133722,Device Migration Problem,Problem with all or part of an implanted or invasive device moving from its intended location within the body.,Migration,4003,Problem with all or part of an implanted or invasive device moving from its intended location within the body.,IMDRF:A010402
C54451,Medical Device Problem,C187247,Lack of Effect,Problems associated with a product having less efficacy than expected. No other malfunctions could be identified.,Lack of Effect,4065,Problems associated with a product having less efficacy than expected. No other malfunctions could be identified.,IMDRF:A0105
C54451,Medical Device Problem,C187248,Device Stenosis,"Problem associated with the narrowing or obstruction of the device (e.g. prosthetic heart valves, stents, etc.).",Device Stenosis,4066,"Problem associated with the narrowing or obstruction of the device (e.g. prosthetic heart valves, stents, etc.).",IMDRF:A0106
C54451,Medical Device Problem,C206562,Implant Subsidence,Problem related to the settling or collapse of bone adjacent to an implanted device.,Implant subsidence,4078,"Problem related to the settling or collapse of bone adjacent to an implanted device, in direction of the loading force.",IMDRF:A0107
C54451,Medical Device Problem,C63041,"Manufacturing, Packaging or Shipping Problem","Problem associated with any deviations from the documented specifications of the device that relate to nonconformity during manufacture to the design of an item or to specified manufacturing, packaging or shipping processes (out of box problem).","Manufacturing, Packaging or Shipping Problem",2975,"Problem associated with any deviations from the documented specifications of the device that relate to nonconformity during manufacture to the design of an item or to specified manufacturing, packaging or shipping processes (out of box problem).",IMDRF:A02
C54451,Medical Device Problem,C62948,Device or Device Quality Issue,A difficulty with the quality of part of the device or the device itself.,Product Quality Problem,1506,Problem associated with an inherent device characteristic that is not satisfactory as specified or delivered.,IMDRF:A0201
C54451,Medical Device Problem,C63219,Dull Device,Problem associated with a device not being as sharp as intended or expected.,"Dull, Blunt",2407,Problem associated with a device not being as sharp as intended or expected.,IMDRF:A020101
C54451,Medical Device Problem,C62898,Nonstandard Device,"Problem associated with the device that does not meet the specifications or requirements for which it was manufactured (e.g. materials, parts, manufacturing process).",Nonstandard Device,1420,"Problem associated with the device that does not meet the specifications or requirements for which it was manufactured (e.g. materials, parts, manufacturing process).",IMDRF:A020102
C54451,Medical Device Problem,C63023,Defective Component,Problem associated with a device component having flaws of dimensional deviations greater than acceptable for the intended use.,Defective Component,2292,Problem associated with a device component having flaws of dimensional deviations greater than acceptable for the intended use.,IMDRF:A0202
C54451,Medical Device Problem,C63250,Defective Device,Problem associated with having flaws or dimensional deviations greater than acceptable for the intended use of the device.,Defective Device,2588,Problem associated with having flaws or dimensional deviations greater than acceptable for the intended use of the device.,IMDRF:A0203
C54451,Medical Device Problem,C63015,Device Damaged Prior to Use,Problem associated with packaging or shipping damage prior to the use of a device.,Device Damaged Prior to Use,2284,Problem associated with packaging or shipping damage prior to the use of the device.,IMDRF:A0204
C54451,Medical Device Problem,C62939,Packaging Problem,Problem associated with the materials used to construct the cover or outer wrapping of the device.,Packaging Problem,3007,Problem associated with the materials used to construct the cover or outer wrapping of the device.,IMDRF:A0205
C54451,Medical Device Problem,C63231,Difficult to Open or Remove Packaging Material,"Problem associated with difficulty for users to operate the device, specifically as it relates to the opening or removal of the outer wrapping.",Difficult to Open or Remove Packaging Material,2922,"Problem associated with difficulty for users to operate the device, specifically as it relates to the opening or removal of the outer wrapping.",IMDRF:A020501
C54451,Medical Device Problem,C62940,Packaging Incomplete or Missing,Problem associated with the nonconformance to the device specifications due to incomplete or missing packaging that may compromise the device operation as intended.,Incomplete or Missing Packaging,2312,Problem associated with the nonconformance to the device specifications due to incomplete or missing packaging that may compromise the device operation as intended.,IMDRF:A020502
C54451,Medical Device Problem,C62810,Unsealed Device Packaging,Problem associated with the device's loss of packaging seal.,Unsealed Device Packaging,1444,Problem associated with the loss of packaging seal.,IMDRF:A020503
C54451,Medical Device Problem,C62831,"Tear, Rip or Hole in Packaging","Problem associated with packaging damage (tear, rip or hole) prior to the use of the device.","Tear, Rip or Hole in Device Packaging",2385,"Problem associated with packaging damage (tear, rip or hole) prior to the use of the device.",IMDRF:A020504
C54451,Medical Device Problem,C206563,Device Packaging Look-Alike,Problem associated with medical device packaging that looks similar to another product.,Device packaging look-alike,4079,Problem associated with medical device packaging that looks similar to another product leading to confusion. The other product may be another device or a different product such as a medicine or cleaning agent. Use A210107 for Device label look-alike.,IMDRF:A020505
C54451,Medical Device Problem,C62957,Device Misassembled during Manufacturing or Shipping,A device found incorrectly assembled when delivered to the user facility.,Device Misassembled During Manufacturing /Shipping,2912,A device found incorrectly assembled when delivered to the user facility.,IMDRF:A0206
C54451,Medical Device Problem,C133498,Component Misassembled,A device is found to have one or more components incorrectly assembled when delivered to the user facility.,Component Misassembled,4004,A device found to have one or more components incorrectly assembled when delivered to the user facility. This includes cases in which components are interchanged.,IMDRF:A020601
C54451,Medical Device Problem,C63021,Component Missing,A device component(s) found to be missing when delivered to the user facility.,Component Missing,2306,A device component(s) found to be missing when delivered to the user facility.,IMDRF:A020602
C54451,Medical Device Problem,C187249,Extra Component,More than the usual number of components present/additional components from this or other devices.,Extra Components,4067,More than the usual number of components present/additional components from this or other devices.,IMDRF:A020603
C54451,Medical Device Problem,C62925,Shipping Damage or Problem,Problem associated with shipping damage or problem prior to the use of the device.,Shipping Damage or Problem,1570,Problem associated with shipping damage or problem prior to the use of the device.,IMDRF:A0207
C54451,Medical Device Problem,C63014,Delivered As Unsterile Product,"Problem associated with a device being received in such a manner to indicate that its sterility has been compromised (e.g. sterile packaging breached, visible contaminate present).",Delivered as Unsterile Product,1421,"Problem associated with a device being received in such a manner to indicate that its sterility has been compromised (e.g. sterile packaging breached, visible contaminate present)",IMDRF:A020701
C54451,Medical Device Problem,C62945,Chemical Problem,"Problem associated with any from the documented specifications of a device that relate to any chemical characterization, i.e., element, compound, or mixture.",Chemical Problem,2893,"Problem associated with any from the documented specifications of the device that relate to any chemical characterization, i.e., element, compound, or mixture.",IMDRF:A03
C54451,Medical Device Problem,C63004,Device Emits Odor,Problem associated with an unexpected or inappropriate smell released by the device.,Device Emits Odor,1425,Problem associated with an unexpected or inappropriate smell released by the device.,IMDRF:A0301
C54451,Medical Device Problem,C62982,Device Ingredient or Reagent Problem,Problem associated with any deviations from the documented specifications of the device that relate to any ingredient or reagent characterization.,Device Ingredient or Reagent Problem,2910,Problem associated with any deviations from the documented specifications of the device that relate to any ingredient or reagent characterization.,IMDRF:A0302
C54451,Medical Device Problem,C63275,Clumping in Device or Device Ingredient,Problem associated with the aggregation of particles into irregular masses.,Clumping in Device or Device Ingredient,1095,Problem associated with the aggregation of particles into irregular masses.,IMDRF:A030201
C54451,Medical Device Problem,C63274,Coagulation in Device or Device Ingredient,"Problem associated with the undesired characterization of congealing, solidifying, thickening, curdling.",Coagulation in Device or Device Ingredient,1096,"Problem associated with the undesired characterization of congealing, solidifying, thickening, curdling.",IMDRF:A030202
C54451,Medical Device Problem,C62866,Precipitate in Device or Device Ingredient,Problem associated with the separation of solid particles from a liquid as the result of a chemical or physical change.,Precipitate in Device or Device Ingredient,1478,Problem associated with the separation of solid particles from a liquid as the result of a chemical or physical change.,IMDRF:A030203
C54451,Medical Device Problem,C63261,Cross Reactivity,Problem associated with the degree to which an antibody or antigen participates in cross reactions.,Cross Reactivity,1137,Problem associated with the degree to which an antibody or antigen participates in cross reactions.,IMDRF:A030204
C54451,Medical Device Problem,C62879,Particulates,Substances that consist of separate particles that are introduced by the device during use.,Particulates,1451,Substances that consist of separate particles that are introduced by the device during use.,IMDRF:A030205
C54451,Medical Device Problem,C62981,High pH,pH higher than expected and/or anticipated.,High pH,2426,pH higher than expected and/or anticipated.,IMDRF:A030206
C54451,Medical Device Problem,C133500,Low pH,pH lower than expected and/or anticipated.,Low pH,4005,pH lower than expected and/or anticipated.,IMDRF:A030207
C54451,Medical Device Problem,C172079,Unexpected Product Color,Color of product is different from that expected.,Unexpected Color,4055,Color of product is different from that expected.,IMDRF:A030208
C54451,Medical Device Problem,C63111,Improper Chemical Reaction,Problem associated with an unexpected or incomplete chemical reaction or effect.,Improper Chemical Reaction,2952,Problem associated with an unexpected or incomplete chemical reaction or effect.,IMDRF:A0303
C54451,Medical Device Problem,C62968,Material Integrity Problem,Problem associated with any deviations from the documented specifications of the device that relate to the limited durability of all material used to construct the device.,Material Integrity Problem,2978,Problem associated with any deviations from the documented specifications of the device that relate to the limited durability of all material used to construct device.,IMDRF:A04
C54451,Medical Device Problem,C62973,Material Break,Problem associated with undesired damage or breakage of those materials used in the device construction.,Break,1069,Problem associated with undesired damage or breakage of those materials used in the device construction.,IMDRF:A0401
C54451,Medical Device Problem,C63132,Fracture of Device/Material,Problem associated with a partial or full-thickness crack in the device materials.,Fracture,1260,Problem associated with a partial or full-thickness crack in the device materials.,IMDRF:A040101
C54451,Medical Device Problem,C63194,Loss of or Failure to Bond,Problem associated with lack or loss of adherence between materials intended to be joined together by bonding.,Loss of or Failure to Bond,1068,"Problem associated with lack or loss of adherence between materials intended to be joined together by any bonding such as an adhesive, heat welding, etc.",IMDRF:A040102
C54451,Medical Device Problem,C62969,Material Fragmentation,Problem associated with small pieces of the device breaking off unexpectedly.,Material Fragmentation,1261,Problem associated with small pieces of the device breaking off unexpectedly.,IMDRF:A040103
C54451,Medical Device Problem,C62838,Solder Joint Failure,Problem associated with undesired damage or breakage in a solder joint of materials used in the device construction.,Solder Joint Fracture,2324,Problem associated with undesired damage or breakage in a solder joint of materials used in the device construction.,IMDRF:A040104
C54451,Medical Device Problem,C62972,Burst Container or Vessel,Problem associated with the pressure inside a vessel or container rising to such a degree that the container ruptures.,Burst Container or Vessel,1074,Problem associated with the pressure inside a vessel or container rising to such a degree that the container ruptures.,IMDRF:A0402
C54451,Medical Device Problem,C133505,Device Explosion,"Problem with the device associated with the violent bursting due to the sudden expansion of air, gas or fluid.",Explosion,4006,"Problem associated with the violent bursting due to the sudden expansion of air, gas or fluid.",IMDRF:A0403
C54451,Medical Device Problem,C62971,Material Crack,Problem associated with an undesired partial separation and/or a visible opening along the length or width in the materials that are used in the device construction.,Crack,1135,Problem associated with an undesired partial separation and/or a visible opening along the length or width in the materials that are used in the device construction.,IMDRF:A0404
C54451,Medical Device Problem,C62970,Degradation,"Problem associated with a undesired change in the chemical structure, physical properties, or appearance in the materials that are used in the device construction.",Degraded,1153,"Problem associated with a undesired change in the chemical structure, physical properties, or appearance in the materials that are used in the device construction.",IMDRF:A0405
C54451,Medical Device Problem,C63285,Calcified Material,Problem associated with buildup of calcium salts on a device.,Calcified,1077,Problem associated with buildup of calcium salts on the device.,IMDRF:A040501
C54451,Medical Device Problem,C63263,Corroded Device,"Problem associated with the chemical or electrochemical reaction between materials, usually a metal and its environment that produces a deterioration of the metal and its properties.",Corroded,1131,"Problem associated with the chemical or electrochemical reaction between materials, usually a metal and its environment that produces a deterioration of the metal and its properties.",IMDRF:A040502
C54451,Medical Device Problem,C63208,Material Erosion,Problem associated with a progressive loss of a material from a solid surface.,Material Erosion,1214,Problem associated with a progressive loss of a material from a solid surface.,IMDRF:A040503
C54451,Medical Device Problem,C62874,Pitted Material,"Problem associated with the corrosion of a material's surface, confined to a point or small area that takes the form of cavities.",Pitted,1460,"Problem associated with the corrosion of a material's surface, confined to a point or small area that takes the form of cavities.",IMDRF:A040504
C54451,Medical Device Problem,C63141,Flaked Material,Problem associated with the detachment of small pieces of the coating film of a material.,Flaked,1246,Problem associated with the detachment of small pieces of the coating film of a material.,IMDRF:A040505
C54451,Medical Device Problem,C62878,Peeled/Delaminated Material,"Peeling or delamination of composite materials, including coatings, that occurs when layers are separated as a result of stress or impact and resulting in loss of mechanical toughness.",Peeled/Delaminated,1454,"Peeling or delamination of composite materials, including coatings, that occurs when layers are separated as a result of stress or impact and resulting in loss of mechanical toughness.",IMDRF:A040506
C54451,Medical Device Problem,C62906,Naturally Worn Material,"Problem associated with material damage to a surface, usually involving progressive loss or displacement of material, due to relative motion between that surface and a contacting substance or substances.",Naturally Worn,2988,"Problem associated with material damage to a surface, usually involving progressive loss or displacement of material, due to relative motion between that surface and a contacting substance or substances.",IMDRF:A040507
C54451,Medical Device Problem,C62811,Unraveled Material,"Problem due to the device's undesired unravelling of material (e.g. disentangled, unwound etc.).",Unraveled Material,1664,"Problem due to the undesired unravelling of material (e.g. disentangled, unwound etc.).",IMDRF:A040508
C54451,Medical Device Problem,C63248,Material Deformation,Problem associated with an undesired material change in shape or property caused by external forces.,Material Deformation,2976,Problem associated with an undesired material change in shape or property caused by external forces.,IMDRF:A0406
C54451,Medical Device Problem,C63287,Deformation due to Compressive Stress,"Problem associated with an undesired bulge, bend, bow, kink, or wavy condition observed in the device material resulting from compressive stresses.",Deformation Due to Compressive Stress,2889,"Problem associated with an undesired bulge, bend, bow, kink, or wavy condition observed in the device material resulting from compressive stresses.",IMDRF:A040601
C54451,Medical Device Problem,C63245,Dent in Material,"Problem associated with a undesired change in shape, characterized by the presence of a slight hollow (dent) in the device surface.",Dent in Material,2526,"Problem associated with a undesired change in shape, characterized by the presence of a slight hollow (dent) in the device surface.",IMDRF:A040602
C54451,Medical Device Problem,C63175,Failure to Fold,Problem associated with an undesired material change in the physical property of the device which is characterized by failure to fold.,Failure to Fold,1255,"Problem associated with an undesired material change in physical property, characterized by failure to fold.",IMDRF:A040603
C54451,Medical Device Problem,C62949,Failure to Unfold or Unwrap,Problem associated with the comprising materials' deformation in that device fails to open its wrapping or open/extend in a certain manner i.e. balloon or lens.,Failure to Unfold or Unwrap,1669,Problem associated with the comprising materials' deformation in that device fails to open its wrapping or open/extend in a certain manner i.e. balloon or lens.,IMDRF:A040604
C54451,Medical Device Problem,C63131,Material Frayed,Problem associated with the comprising materials having damaged edges.,Material Frayed,1262,Problem associated with the comprising materials having damaged edges.,IMDRF:A040605
C54451,Medical Device Problem,C63063,Material Invagination,"Problem associated with an undesired material change in shape, characterized by the infolding of one part within another part of a structure.",Material Invagination,1336,"Problem associated with an undesired material change in shape, characterized by the infolding of one part within another part of a structure.",IMDRF:A040606
C54451,Medical Device Problem,C62847,Material Too Rigid or Stiff,"Problem associated with an undesired material change in physical property, characterized by rigidity (it resists deformation in response to an applied force).",Material Too Rigid or Stiff,1544,"Problem associated with an undesired material change in physical property, characterized by rigidity (it resists deformation in response to an applied force).",IMDRF:A040607
C54451,Medical Device Problem,C133507,Material Too Soft or Flexible,Problem associated with the device material that results in the material's inability to maintain the desired shape or support function.,Material Too Soft/Flexible,4007,Problem associated with any device material that results in the material's inability to maintain the desired shape or support function.,IMDRF:A040608
C54451,Medical Device Problem,C62962,Material Twisted/Bent,Problem associated with deformations that lead to twisting or bending of the device.,Material Twisted/Bent,2981,Problem associated with deformations that lead to twisting or bending of the device.,IMDRF:A040609
C54451,Medical Device Problem,C62908,Melted Device,Problem associated with a solid device being transformed into a molten or liquid state.,Melted,1385,Problem associated with a solid device being transformed into a molten or liquid state.,IMDRF:A040610
C54451,Medical Device Problem,C62835,Material Stretched,Problem associated with an increase or elongation in a materials' dimension.,Stretched,1601,Problem associated with an increase or elongation in a materials' dimension.,IMDRF:A040611
C54451,Medical Device Problem,C172039,Thickening of Device Material,Device is thickened due to deformation.,Thickening of Material,4056,Device is thickened due to deformation. Note: Not to be used for thickening of liquid.,IMDRF:A040612
C54451,Medical Device Problem,C63224,Discolored Material,"Problem associated with an undesired streak, pattern and/or a noticeable change in color from the rest of the materials used in the device construction.",Material Discolored,1170,"Problem associated with an undesired streak, pattern and/or a noticeable change in color from the rest of the materials used in the device construction.",IMDRF:A0407
C54451,Medical Device Problem,C63222,Material Disintegration,Problem associated with material breaking into small pieces.,Material Disintegration,1177,Problem associated with material breaking into small particles.,IMDRF:A0408
C54451,Medical Device Problem,C62895,Material Opacification,Problem associated with an undesirable opaqueness or cloudiness.,Material Opacification,1426,Problem associated with an undesirable opaqueness or cloudiness.,IMDRF:A0409
C54451,Medical Device Problem,C62967,Material Perforation,Material constituting device is perforated possibly compromising the device's intended purpose.,Material Perforation,2205,Material constituting device is perforated possibly compromising the device's intended purpose.,IMDRF:A0410
C54451,Medical Device Problem,C62966,Material Puncture/Hole,Device material(s) punctured leading to undesired holes/openings.,Material Puncture/Hole,1504,Device material(s) punctured leading to undesired holes/openings.,IMDRF:A041001
C54451,Medical Device Problem,C72891,Material Protrusion,"Problem associated with undesired physical appearance of device material, specifically when material extends beyond or above device surface.",Material Protrusion/Extrusion,2979,"Problem associated with undesired physical appearance of device material, specifically when material extends beyond or above device surface.",IMDRF:A0411
C54451,Medical Device Problem,C62965,Material Rupture,Problem associated with perforations that lead to bursting of the device.,Material Rupture,1546,Problem associated with perforations that lead to bursting of the device.,IMDRF:A0412
C54451,Medical Device Problem,C62964,Material Separation,Problem associated with an undesired disassociation or breaking apart of the device.,Material Separation,1562,Problem associated with an undesired disassociation or breaking apart of the device.,IMDRF:A0413
C54451,Medical Device Problem,C133509,"Material Split, Cut or Torn","Problem associated with materials comprising the device are split, cut or torn due to external forces (e.g. wrenching or laceration) or internal forces (e.g. exceeding the tensile stress limits belonging to the materials used in the device construction).","Material Split, Cut or Torn",4008,"Problem associated with materials consisting the device are split, cut or torn due to external forces (e.g. wrenching or laceration) or internal forces (e.g. exceeding the tensile stress limits belonging to the materials used in the device construction).",IMDRF:A0414
C54451,Medical Device Problem,C62846,Scratched Material,Problem associated with an undesirable shallow cut or narrow groove in the surface of the device materials.,Scratched Material,3020,Problem associated with an undesirable shallow cut or narrow groove in the surface of the device materials.,IMDRF:A0415
C54451,Medical Device Problem,C62961,Mechanical Issue,"Problems associated with mechanical actions or defects of the device, which includes any moving parts or subassemblies, etc.",Mechanical Problem,1384,"Problems associated with mechanical actions or defects, including moving parts or subassemblies, etc.",IMDRF:A05
C54451,Medical Device Problem,C63242,Detachment of Device or Device,"Problem associated with the separation of the device from its physical construct, integrity, or chassis.",Detachment of Device or Device Component,2907,"Problem associated with the separation of the device from its physical construct, integrity, or chassis.",IMDRF:A0501
C54451,Medical Device Problem,C62951,Device Damaged by another Device,Problem associated with one device causing harm to another device.,Device Damaged by Another Device,2915,Problem associated with one device causing harm to another device.,IMDRF:A0502
C54451,Medical Device Problem,C133510,Ejection Problem,Problems associated with the inability of or unexpected removal or separation of the device from its physical location.,Ejection Problem,4009,Problems associated with the inability or unexpected ejection or discharge of the device from its physical location.,IMDRF:A0503
C54451,Medical Device Problem,C133511,Failure to Eject,Problem associated with the inability to remove or discharge device from the location of use.,Failure to Eject,4010,Problem associated with the inability of the device to be ejected or discharged from its physical location.,IMDRF:A050301
C54451,Medical Device Problem,C62817,Unintended Ejection,"Problem associated with unexpected discharge of the device from expected location includes but not limited to the device such as clip appliers, film cartridge, staples.",Unintended Ejection,1234,"Problem associated with unexpected ejection of the device from its physical location. This includes but is not limited to devices such as clip appliers, film cartridge, and staples.",IMDRF:A050302
C54451,Medical Device Problem,C63058,Leak/Splash,Problem associated with the escape of a liquid or gas from the vessel or container in which it is housed.,Leak/Splash,1354,"Problem associated with the escape of a liquid (including blood and bodily fluids), gas or radiation from the vessel or container in which it is housed.",IMDRF:A0504
C54451,Medical Device Problem,C63137,Fluid/Blood Leak,"Escape (Release, Discharge) of fluid (including blood or bodily fluid) through an unintended location; often accompanied by a loss of pressure and/or output. This includes both external and internal fluid leak. This does not include fluidized powder leak.",Fluid/Blood Leak,1250,"Escape (Release, Discharge) of fluid (including blood or bodily fluid) through an unintended location; often accompanied by a loss of pressure and/or output. This includes both external and internal fluid leak. This does not include fluidized powder leak.",IMDRF:A050401
C54451,Medical Device Problem,C63127,Gas/Air Leak,Problem associated with the unintended escape of a gas/air from the container in which it is housed. This also includes both external and internal air/gas leak.,Gas/Air Leak,2946,Problem associated with the unintended escape of a gas/air from the container in which it is housed. This also includes both external and internal air/gas leak.,IMDRF:A050402
C54451,Medical Device Problem,C63316,Gel Leak,"Escape (release, discharge) of gel through an unintended location - as in leakage of ultrasound gel. Escape or release of gel from containment structures - as in gel filled implant leak.",Gel Leak,1267,"Escape (Release, Discharge) of gel through an unintended location - as in leakage of ultrasound gel. Escape or release of gel from containment structures - as in gel filled implant leak.",IMDRF:A050403
C54451,Medical Device Problem,C62857,Radiation Leak,"Escape of radiation (energy in the form of waves or subatomic particles, especially those that cause ionization) through containment structures, leading to unintended exposure.",Radiation Leak,1357,"Escape of radiation (energy in the form of waves or subatomic particles, especially those that cause ionization) through containment structures, leading to unintended exposure.",IMDRF:A050404
C54451,Medical Device Problem,C62876,Perivalvular Leak,"Problem associated with the escape of blood around a heart valve, particularly around its leaflets.",Perivalvular Leak,1457,"Problem associated with the escape of blood around a heart valve, particularly around its leaflets. Also known as paravalvular leak.",IMDRF:A050405
C54451,Medical Device Problem,C187251,Intravalvular Regurgitation,Problem associated with the escape or backward flow of blood through or across the valve.,Intravalvular Regurgitation,4068,Problem associated with the escape or backward flow of blood through or across the valve. Also known as transvalvular regurgitation.,IMDRF:A050406
C54451,Medical Device Problem,C187252,Powder Leak,"Escape (release, discharge) of powder (including particulates) through an unintended location,  often accompanied by a loss of pressure and/or output.",Powder Leak,4069,"Escape (release, discharge) of powder (including particulates) through an unintended location,  often accompanied by a loss of pressure and/or output.",IMDRF:A050407
C54451,Medical Device Problem,C193377,Post-EVAR Endoleak,Problem associated with persistent blood flow/pressure in the aneurysm sac following an endovascular aneurysm repair (EVAR) procedure.,Endoleaks,4074,Problem associated with persistent blood flow/pressure in the aneurysm sac following an endovascular aneurysm repair (EVAR) procedure.,IMDRF:A050408
C54451,Medical Device Problem,C50797,Valvular Regurgitation,"Regurgitation of the blood of the heart valves owning to imperfect closing, insufficiency or incompetency of the valves.",Unspecified Valve Regurgitation,4080,Problem associated with the escape or backward flow of blood relative to a valve where it is not specified or not confirmed whether the leak is transvalvular/intravalvular or paravalvular/perivalvular.,IMDRF:A050409
C54451,Medical Device Problem,C133512,Firing Problem,Problem associated with the device not discharging as intended.,Firing Problem,4011,Problem associated with the device not discharging as intended.,IMDRF:A0505
C54451,Medical Device Problem,C63177,Failure to Fire,Problem associated with failure of the device to discharge its load (e.g. surgical stapler failed to partially or completely deploy its staples).,Failure to Fire,2610,Problem associated with failure of the device to discharge its load (e.g. surgical stapler failed to partially or completely deploy its staples).,IMDRF:A050501
C54451,Medical Device Problem,C62914,Misfire,"Issue associated with failure of device to discharge its load (e.g., surgical stapler failed to partially or completely deploy its staples).",Misfire,2532,Problem associated with a therapy or algorithm not being delivered or executed at the expected time.,IMDRF:A050502
C54451,Medical Device Problem,C63039,Mechanical Jam,The motion of the device is prevented or restricted.,Mechanical Jam,2983,The motion of the device is prevented or restricted.,IMDRF:A0506
C54451,Medical Device Problem,C62960,Mechanics Altered,"Problem associated with a device mechanical functioning of machinery, moving parts or tools of device being changed or modified.",Mechanics Altered,2984,"Problem associated with a device mechanical functioning of machinery, moving parts or tools of device being changed or modified.",IMDRF:A0507
C54451,Medical Device Problem,C63197,Failure to Align,"Problem associated with a circuit, equipment, or system whereby its functions fail to be properly synchronized or its relative positions properly oriented.",Failure to Align,2522,"Problem associated with a circuit, equipment, or system whereby its functions fail to be properly synchronized or its relative positions properly oriented.",IMDRF:A050701
C54451,Medical Device Problem,C63188,Failure to Cut,"Inability of the device to make an incision, pierce or open as intended.",Failure to Cut,2587,"Inability of the device to make an incision, pierce or open as intended.",IMDRF:A050702
C54451,Medical Device Problem,C63187,Failure to Cycle,Problem associated with the device failing to complete a series of processes or events.,Failure to Cycle,1142,Problem associated with the device failing to complete a series of processes or events.,IMDRF:A050703
C54451,Medical Device Problem,C64328,Failure to Form Staple,Problem associated with the device failing to connect tissue with a stapling device due to the staples not forming correctly.,Failure to Form Staple,2579,Problem associated with the device failing to connect tissue with a stapling device due to the staples not forming correctly.,IMDRF:A050704
C54451,Medical Device Problem,C187253,Failure to Seal,Problem associated with the device failing to seal the intended vessel with the device intended to provide a seal.,Failure to Seal,4070,Problem associated with the device failing to seal the intended vessel with the device intended to provide a seal (e.g. electrosurgical hemostasis).,IMDRF:A050705
C54451,Medical Device Problem,C99179,Audible Device Noise,An unintended or unpleasant sound that emanates from a device.,"Noise, Audible",3273,"Problem associated with any unintended sound which emanates from the device (for example, squeaking from two parts rubbing together or buzzing sounds from electrical components).",IMDRF:A0508
C54451,Medical Device Problem,C133513,Physical Resistance/Sticking,Problem associated with the lack of movement in the device due parts sticking or seizing.,Physical Resistance/Sticking,4012,Problem associated with the lack of movement in the device due parts sticking or seizing.,IMDRF:A0509
